droga;czas[s];;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,196996212;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,252046585;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,244039297;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,253573895;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,259274483;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,23599124;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,246862888;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,243612766;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,308038473;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,188989401;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,123929501;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,124931097;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,136941433;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,115923405;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,122928143;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,132092237;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,122929573;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,13552475;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1109097;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,114920855;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,126223564;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,112919331;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,152358055;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,24627924;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,7860029;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,3245318;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,749747;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,6989226;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,5745578;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];340,4914024;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];324,0814791;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];317,8017843;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];318,3452685;;;;;;
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];331,3675096;;;;;;
