droga;czas[s]
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2240209579467773
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2350311279296875
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2356135845184326
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2590527534484863
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2391228675842285
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,23652720451355
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2350308895111084
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2960870265960693
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,250620126724243
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,231529474258423
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2410364151000977
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2211523056030273
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2412004470825195
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2445573806762695
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,260054349899292
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2440640926361084
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,246040105819702
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,231027126312256
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1969962120056152
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,252046585083008
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,244039297103882
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2535738945007324
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,259274482727051
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2359912395477295
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2468628883361816
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,243612766265869
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,3080384731292725
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1889894008636475
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,123929500579834
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1249310970306396
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,136941432952881
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1159234046936035
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1229281425476074
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,132092237472534
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,122929573059082
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1355247497558594
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1109097003936768
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1149208545684814
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,126223564147949
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,112919330596924
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,152358055114746
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,246279239654541
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,7860028743744
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,32453179359436
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,7497470378876
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,69892263412476
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];338,5745577812195
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];340,491402387619
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];324,0814790725708
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];317,8017842769623
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];318,3452684879303
[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10];331,36750960350037
